// no absorbtion no wrapping
X,nRays,nAPD,nAngle,nAbsorbed,ratio,ratio_norm
0.1,10000,5951,4049,0,0.5951,1.2602710715798389
0.595,10000,4934,5066,0,0.4934,1.044896230410843
1.09,10000,4722,5278,0,0.4722,1.0
1.585,10000,4726,5274,0,0.4726,1.000847098686997
2.08,10000,4729,5271,0,0.4729,1.0014824227022447
2.575,10000,4745,5255,0,0.4745,1.004870817450233
3.07,10000,4764,5236,0,0.4764,1.008894536213469
3.565,10000,4787,5213,0,0.4787,1.013765353663702
4.06,10000,4808,5192,0,0.4808,1.0182126217704361
4.5550000000000004,10000,4829,5171,0,0.4829,1.0226598898771706
5.05,10000,4851,5149,0,0.4851,1.0273189326556542
5.545,10000,4873,5127,0,0.4873,1.031977975434138
6.04,10000,4876,5124,0,0.4876,1.0326132994493857
6.535000000000001,10000,4879,5121,0,0.4879,1.0332486234646336
7.03,10000,4885,5115,0,0.4885,1.0345192714951292
7.525,10000,4889,5111,0,0.4889,1.0353663701821263
8.02,10000,4894,5106,0,0.4894,1.0364252435408725
8.514999999999999,10000,4892,5108,0,0.4892,1.036001694197374
9.010000000000001,10000,4914,5086,0,0.4914,1.0406607369758576
9.505,10000,4946,5054,0,0.4946,1.0474375264718339
10.0,10000,4979,5021,0,0.4979,1.0544260906395595
10.495,10000,5011,4989,0,0.5011,1.0612028801355358
10.99,10000,5015,4985,0,0.5015,1.0620499788225326
11.485,10000,5054,4946,0,0.5054,1.0703091910207538
11.98,10000,5095,4905,0,0.5095,1.0789919525624734
12.475,10000,5110,4890,0,0.511,1.0821685726387125
12.970000000000002,10000,5071,4929,0,0.5071,1.0739093604404912
13.465,10000,5075,4925,0,0.5075,1.0747564591274883
13.96,10000,5112,4888,0,0.5112,1.0825921219822108
14.454999999999998,10000,5130,4870,0,0.513,1.0864040660736975
14.95,10000,5144,4856,0,0.5144,1.089368911478187
15.445000000000002,10000,5215,4785,0,0.5215,1.1044049131723845
15.94,10000,5248,4752,0,0.5248,1.1113934773401102
16.435,10000,5248,4752,0,0.5248,1.1113934773401102
16.929999999999998,10000,5336,4664,0,0.5336,1.1300296484540449
17.425,10000,5366,4634,0,0.5366,1.1363828886065226
17.920000000000002,10000,5281,4719,0,0.5281,1.1183820415078356
18.415,10000,5366,4634,0,0.5366,1.1363828886065226
18.91,10000,5366,4634,0,0.5366,1.1363828886065226
19.404999999999998,10000,5429,4571,0,0.5429,1.149724692926726
