// absorbtion wrapping
X,nRays,nAPD,nAngle,nAbsorbed,ratio,ratio_norm
0.1,10000,8046,508,1443,0.8046,1.2737058730410005
0.595,10000,7911,663,1424,0.7911,1.2523349691309165
1.09,10000,7623,852,1517,0.7623,1.2067437074560707
1.585,10000,7612,857,1530,0.7612,1.2050023745448788
2.08,10000,7438,985,1575,0.7438,1.1774576539496595
2.575,10000,7387,1067,1543,0.7387,1.1693842013614058
3.07,10000,7163,1142,1684,0.7163,1.133924331169859
3.565,10000,7244,1150,1602,0.7244,1.1467468735159094
4.06,10000,7110,1166,1715,0.711,1.125534272597752
4.5550000000000004,10000,7040,1236,1714,0.704,1.1144530631628937
5.05,10000,6932,1250,1809,0.6932,1.0973563400348267
5.545,10000,6924,1242,1830,0.6924,1.0960899160994142
6.04,10000,6839,1227,1924,0.6839,1.0826341617856576
6.535000000000001,10000,6815,1239,1938,0.6815,1.0788348899794205
7.03,10000,6788,1242,1959,0.6788,1.0745607091974037
7.525,10000,6705,1289,1996,0.6705,1.0614215608675004
8.02,10000,6747,1240,2005,0.6747,1.0680702865284153
8.514999999999999,10000,6609,1311,2067,0.6609,1.0462244736425519
9.010000000000001,10000,6624,1264,2107,0.6624,1.04859901852145
9.505,10000,6553,1306,2129,0.6553,1.0373595060946652
10.00,10000,6536,1280,2178,0.6536,1.0346683552319138
10.495,10000,6541,1260,2187,0.6541,1.0354598701915465
10.99,10000,6574,1237,2179,0.6574,1.0406838689251225
11.485,10000,6490,1237,2258,0.649,1.0273864176032927
11.98,10000,6397,1253,2340,0.6397,1.0126642393541239
12.475,10000,6440,1178,2374,0.644,1.0194712680069653
12.970000000000002,10000,6344,1280,2367,0.6344,1.0042741807820166
13.465,10000,6412,1171,2407,0.6412,1.015038784233022
13.96,10000,6407,1197,2384,0.6407,1.0142472692733893
14.454999999999998,10000,6327,1255,2403,0.6327,1.0015830299192654
14.95,10000,6362,1177,2454,0.6362,1.0071236346366945
15.445000000000002,10000,6337,1139,2519,0.6337,1.003166059838531
15.94,10000,6335,1151,2501,0.6335,1.0028494538546777
16.435,10000,6317,1189,2485,0.6317,1.0
16.929999999999998,10000,6321,1074,2590,0.6321,1.0006332119677062
17.425,10000,6359,1072,2557,0.6359,1.006648725660915
17.920000000000002,10000,6403,1005,2580,0.6403,1.0136140573056829
18.415,10000,6504,956,2532,0.6504,1.0296026594902643
18.91,10000,6395,953,2643,0.6395,1.0123476333702706
19.404999999999998,10000,6410,921,2657,0.641,1.0147221782491689
